mae,loss,val_mae,val_loss
288.3393249511719,239854.40625,342.462646484375,362700.5625
268.263916015625,224189.234375,344.33343505859375,363839.21875
269.48284912109375,223911.828125,344.17156982421875,363697.46875
268.15118408203125,225992.8125,343.5240173339844,363185.78125
269.2935485839844,224381.515625,345.6564636230469,364981.03125
267.8948669433594,222651.1875,342.2765808105469,362425.03125
268.23248291015625,225722.1875,345.9320373535156,365242.90625
271.53485107421875,224954.921875,346.0767822265625,365382.375
267.26263427734375,224505.25,341.8830871582031,362173.09375
267.7538146972656,222453.34375,344.5907287597656,364001.5625
268.3387756347656,224247.3125,342.3689270019531,362256.9375
268.7641296386719,224105.0625,345.76971435546875,365097.9375
266.5062255859375,221982.390625,341.33599853515625,361738.3125
267.8968505859375,223501.1875,343.5523376464844,363072.5
268.94549560546875,223917.359375,342.4714050292969,362190.46875
266.9425048828125,223942.40625,344.4319152832031,363835.59375
268.7030944824219,223244.9375,342.3513488769531,362068.78125
266.83648681640625,224440.625,344.7441711425781,364140.78125
270.3929443359375,224485.53125,345.8023681640625,365150.9375
267.1554260253906,224265.078125,341.50299072265625,361440.15625
267.3914794921875,223743.984375,341.2943420410156,361198.6875
267.6887512207031,223036.453125,341.6632995605469,361433.15625
267.341796875,223853.40625,343.7498779296875,363203.15625
266.4490051269531,223348.75,341.1024169921875,360891.78125
266.5607604980469,221687.640625,343.2539978027344,362734.6875
266.5537414550781,222166.1875,340.6583557128906,360562.5625
266.10455322265625,222286.75,343.45318603515625,362933.53125
265.9289245605469,221592.640625,340.045654296875,359968.125
265.7069396972656,222669.125,342.567138671875,362103.25
267.91949462890625,224029.578125,338.0362243652344,358748.875
264.2217712402344,220054.046875,342.1391296386719,361727.46875
264.4537048339844,222132.390625,338.94171142578125,358690.75
265.9375,221816.671875,340.66943359375,360333.21875
262.982177734375,219580.765625,339.91168212890625,359589.6875
266.7632751464844,222631.21875,338.02996826171875,358089.8125
262.59808349609375,219715.265625,339.7710266113281,359489.40625
263.6781921386719,220048.875,335.2361755371094,355848.59375
261.69598388671875,219570.34375,335.9815673828125,355811.21875
261.47259521484375,218602.96875,334.9887390136719,354865.84375
261.1412353515625,218102.4375,334.73822021484375,354572.3125
258.5007019042969,216769.203125,331.8143615722656,352120.9375
259.32073974609375,216307.765625,330.7165222167969,351710.53125
258.8999938964844,217324.03125,330.8286437988281,350699.15625
255.8966064453125,213820.453125,328.0678405761719,347893.4375
254.2772216796875,212222.78125,325.7727966308594,346052.1875
253.874755859375,211540.59375,324.94232177734375,345018.375
251.69960021972656,212205.71875,325.6316833496094,346790.25
249.10484313964844,209380.359375,325.7843933105469,348255.3125
247.1737060546875,205578.4375,325.5070495605469,348839.53125
242.7224884033203,201586.125,334.3172607421875,360751.40625
245.79518127441406,205800.046875,331.7486572265625,359388.0625
237.52659606933594,200662.84375,304.0173034667969,321557.1875
231.6771697998047,192176.40625,298.6299133300781,314957.59375
225.3390655517578,184812.6875,294.0570068359375,314947.34375
224.8909454345703,184107.859375,289.2764587402344,301131.28125
217.7274169921875,178889.734375,284.78839111328125,294681.6875
217.36666870117188,172244.53125,285.4547424316406,309426.40625
219.568359375,175900.5625,274.97833251953125,284313.9375
233.7462158203125,184402.15625,282.51739501953125,287043.875
228.58456420898438,183943.78125,285.9440002441406,306368.6875
